title,ethnicity,activity,location,text,tags,caption,object
photo135,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12091285_959189739541_559997815608370617_o.jpg"" height=""500px"">"
photo136,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12091446_959189290441_1430295082412829341_o.jpg"" height=""500px"">"
photo137,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12095213_959191231551_5211100763442743515_o.jpg"" height=""500px"">"
photo138,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12096051_184109375257381_8914918429483839853_n.jpg"" height=""500px"">"
photo139,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12096504_903322909720798_6673705538754204260_n.jpg"" height=""500px"">"
photo140,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12096577_1640821596142823_7519553051350579312_n.jpg"" height=""500px"">"
photo141,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12107088_1650065861941489_3357608449506723449_n.jpg"" height=""500px"">"
photo142,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12107770_808634359249162_5653290749153968122_n.jpg"" height=""500px"">"
photo143,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12108097_808634312582500_1845281541095242512_n.jpg"" height=""500px"">"
photo144,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12108748_889929401083065_8098887817802786448_n.jpg"" height=""500px"">"
photo145,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12109800_959191041931_6032849517980943295_o.jpg"" height=""500px"">"
photo146,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12109807_959192094821_3596832673495148887_o.jpg"" height=""500px"">"
photo147,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12110013_880961081983328_1145885287072764040_o.jpg"" height=""500px"">"
photo148,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12111914_808634335915831_5209157537823310248_n.jpg"" height=""500px"">"
photo149,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12113445_518939548260700_1177560862040810423_o.jpg"" height=""500px"">"
photo150,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12115586_649676068507206_5444169801369483272_n.jpg"" height=""500px"">"
photo151,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12122732_903366956383060_3724390759439476687_n.jpg"" height=""500px"">"
photo152,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12132364_959189669681_6476550637718063659_o.jpg"" height=""500px"">"
